matrix_dim, etime, flops, cores
16384, 369.521102, 23804034396.411819, 28
16384, 368.847983, 23847474915.453178, 28
16384, 375.189945, 23444373015.401569, 28
16384, 362.660551, 24254341967.864048, 28
16384, 370.525208, 23739526575.498203, 28
16384, 373.770222, 23533423757.358604, 28
16384, 364.833562, 24109878965.049824, 28
16384, 362.129941, 24289880582.417793, 28
16384, 364.882384, 24106653014.545094, 28
